creation_year	parent_page_title	year	revid	num_ills_that_year
2001.0	Wikipedia:Urheberrechte beachten	2001	1	1
2001.0	Wikipedia:Urheberrechte beachten	2002	7	3
2001.0	Wikipedia:Urheberrechte beachten	2003	36	4
2001.0	Wikipedia:Urheberrechte beachten	2004	110	4
2001.0	Wikipedia:Urheberrechte beachten	2005	132	4
2001.0	Wikipedia:Urheberrechte beachten	2006	118	4
2001.0	Wikipedia:Urheberrechte beachten	2007	64	4
2001.0	Wikipedia:Urheberrechte beachten	2008	65	5
2001.0	Wikipedia:Urheberrechte beachten	2009	51	5
2001.0	Wikipedia:Urheberrechte beachten	2010	23	5
2001.0	Wikipedia:Urheberrechte beachten	2011	51	5
2001.0	Wikipedia:Urheberrechte beachten	2012	19	5
2001.0	Wikipedia:Urheberrechte beachten	2013	21	5
2001.0	Wikipedia:Urheberrechte beachten	2014	28	5
2001.0	Wikipedia:Urheberrechte beachten	2015	5	5
2001.0	Wikipedia:Urheberrechte beachten	2017	11	5
2001.0	Wikipedia:Urheberrechte beachten	2018	4	5
2001.0	Wikipedia:Urheberrechte beachten	2019	7	5
2001.0	Wikipedia:Urheberrechte beachten	2020	17	5
2002.0	Wikipedia:Begriffsklärung	2002	109	3
2002.0	Wikipedia:Begriffsklärung	2003	739	3
2002.0	Wikipedia:Begriffsklärung	2004	822	4
2002.0	Wikipedia:Begriffsklärung	2005	438	4
2002.0	Wikipedia:Begriffsklärung	2006	548	4
2002.0	Wikipedia:Begriffsklärung	2007	604	4
2002.0	Wikipedia:Begriffsklärung	2008	308	4
2002.0	Wikipedia:Begriffsklärung	2009	401	4
2002.0	Wikipedia:Begriffsklärung	2010	563	5
2002.0	Wikipedia:Begriffsklärung	2011	315	5
2002.0	Wikipedia:Begriffsklärung	2012	266	5
2002.0	Wikipedia:Begriffsklärung	2013	453	5
2002.0	Wikipedia:Begriffsklärung	2014	205	5
2002.0	Wikipedia:Begriffsklärung	2015	344	5
2002.0	Wikipedia:Begriffsklärung	2016	205	5
2002.0	Wikipedia:Begriffsklärung	2017	821	5
2002.0	Wikipedia:Begriffsklärung	2018	312	5
2002.0	Wikipedia:Begriffsklärung	2019	691	5
2002.0	Wikipedia:Begriffsklärung	2020	652	5
2002.0	Wikipedia:Datumskonventionen	2002	7	1
2002.0	Wikipedia:Datumskonventionen	2003	19	2
2002.0	Wikipedia:Datumskonventionen	2004	31	2
2002.0	Wikipedia:Datumskonventionen	2005	222	2
2002.0	Wikipedia:Datumskonventionen	2006	218	2
2002.0	Wikipedia:Datumskonventionen	2007	61	2
2002.0	Wikipedia:Datumskonventionen	2008	75	2
2002.0	Wikipedia:Datumskonventionen	2009	103	2
2002.0	Wikipedia:Datumskonventionen	2010	61	2
2002.0	Wikipedia:Datumskonventionen	2011	51	2
2002.0	Wikipedia:Datumskonventionen	2012	72	2
2002.0	Wikipedia:Datumskonventionen	2013	45	2
2002.0	Wikipedia:Datumskonventionen	2014	39	2
2002.0	Wikipedia:Datumskonventionen	2015	9	2
2002.0	Wikipedia:Datumskonventionen	2016	23	2
2002.0	Wikipedia:Datumskonventionen	2017	16	2
2002.0	Wikipedia:Datumskonventionen	2018	2	2
2002.0	Wikipedia:Datumskonventionen	2019	5	2
2002.0	Wikipedia:Datumskonventionen	2020	16	2
2002.0	Wikipedia:Formatierung	2002	18	4
2002.0	Wikipedia:Formatierung	2003	65	5
2002.0	Wikipedia:Formatierung	2004	97	5
2002.0	Wikipedia:Formatierung	2005	164	5
2002.0	Wikipedia:Formatierung	2006	88	5
2002.0	Wikipedia:Formatierung	2007	49	5
2002.0	Wikipedia:Formatierung	2008	80	5
2002.0	Wikipedia:Formatierung	2009	63	5
2002.0	Wikipedia:Formatierung	2010	44	5
2002.0	Wikipedia:Formatierung	2011	42	5
2002.0	Wikipedia:Formatierung	2012	64	5
2002.0	Wikipedia:Formatierung	2013	58	5
2002.0	Wikipedia:Formatierung	2014	49	5
2002.0	Wikipedia:Formatierung	2015	15	5
2002.0	Wikipedia:Formatierung	2016	3	5
2002.0	Wikipedia:Formatierung	2017	62	5
2002.0	Wikipedia:Formatierung	2018	9	5
2002.0	Wikipedia:Formatierung	2019	27	5
2002.0	Wikipedia:Formatierung	2020	14	5
2002.0	Wikipedia:Fremdwortformatierung	2002	2	1
2002.0	Wikipedia:Fremdwortformatierung	2003	5	1
2002.0	Wikipedia:Fremdwortformatierung	2004	10	1
2002.0	Wikipedia:Fremdwortformatierung	2005	90	1
2002.0	Wikipedia:Fremdwortformatierung	2006	33	1
2002.0	Wikipedia:Fremdwortformatierung	2007	23	1
2002.0	Wikipedia:Fremdwortformatierung	2008	23	1
2002.0	Wikipedia:Fremdwortformatierung	2009	18	1
2002.0	Wikipedia:Fremdwortformatierung	2010	4	1
2002.0	Wikipedia:Fremdwortformatierung	2011	15	1
2002.0	Wikipedia:Fremdwortformatierung	2012	25	1
2002.0	Wikipedia:Fremdwortformatierung	2013	10	1
2002.0	Wikipedia:Fremdwortformatierung	2014	27	1
2002.0	Wikipedia:Fremdwortformatierung	2015	1	1
2002.0	Wikipedia:Fremdwortformatierung	2016	9	1
2002.0	Wikipedia:Fremdwortformatierung	2017	3	1
2002.0	Wikipedia:Fremdwortformatierung	2018	6	1
2002.0	Wikipedia:Fremdwortformatierung	2019	4	1
2002.0	Wikipedia:Fremdwortformatierung	2020	4	1
2002.0	Wikipedia:Grundprinzipien	2002	13	1
2002.0	Wikipedia:Grundprinzipien	2003	105	1
2002.0	Wikipedia:Grundprinzipien	2004	27	2
2002.0	Wikipedia:Grundprinzipien	2005	73	3
2002.0	Wikipedia:Grundprinzipien	2006	66	5
2002.0	Wikipedia:Grundprinzipien	2007	174	5
2002.0	Wikipedia:Grundprinzipien	2008	137	5
2002.0	Wikipedia:Grundprinzipien	2009	65	5
2002.0	Wikipedia:Grundprinzipien	2010	112	5
2002.0	Wikipedia:Grundprinzipien	2011	110	5
2002.0	Wikipedia:Grundprinzipien	2012	87	5
2002.0	Wikipedia:Grundprinzipien	2013	80	5
2002.0	Wikipedia:Grundprinzipien	2014	6	5
2002.0	Wikipedia:Grundprinzipien	2015	16	5
2002.0	Wikipedia:Grundprinzipien	2016	16	5
2002.0	Wikipedia:Grundprinzipien	2017	22	5
2002.0	Wikipedia:Grundprinzipien	2018	10	5
2002.0	Wikipedia:Grundprinzipien	2019	10	5
2002.0	Wikipedia:Grundprinzipien	2020	6	5
2002.0	Wikipedia:Namenskonventionen	2002	16	3
2002.0	Wikipedia:Namenskonventionen	2003	42	5
2002.0	Wikipedia:Namenskonventionen	2004	176	5
2002.0	Wikipedia:Namenskonventionen	2005	205	5
2002.0	Wikipedia:Namenskonventionen	2006	258	5
2002.0	Wikipedia:Namenskonventionen	2007	199	5
2002.0	Wikipedia:Namenskonventionen	2008	164	5
2002.0	Wikipedia:Namenskonventionen	2009	2732	5
2002.0	Wikipedia:Namenskonventionen	2010	1977	5
2002.0	Wikipedia:Namenskonventionen	2011	2264	5
2002.0	Wikipedia:Namenskonventionen	2012	2127	5
2002.0	Wikipedia:Namenskonventionen	2013	1091	5
2002.0	Wikipedia:Namenskonventionen	2014	2006	5
2002.0	Wikipedia:Namenskonventionen	2015	1529	5
2002.0	Wikipedia:Namenskonventionen	2016	921	5
2002.0	Wikipedia:Namenskonventionen	2017	562	5
2002.0	Wikipedia:Namenskonventionen	2018	396	5
2002.0	Wikipedia:Namenskonventionen	2019	497	5
2002.0	Wikipedia:Namenskonventionen	2020	671	5
2002.0	Wikipedia:Neutraler Standpunkt	2002	9	4
2002.0	Wikipedia:Neutraler Standpunkt	2003	25	5
2002.0	Wikipedia:Neutraler Standpunkt	2004	78	5
2002.0	Wikipedia:Neutraler Standpunkt	2005	69	5
2002.0	Wikipedia:Neutraler Standpunkt	2006	211	5
2002.0	Wikipedia:Neutraler Standpunkt	2007	872	5
2002.0	Wikipedia:Neutraler Standpunkt	2008	1289	5
2002.0	Wikipedia:Neutraler Standpunkt	2009	435	5
2002.0	Wikipedia:Neutraler Standpunkt	2010	107	5
2002.0	Wikipedia:Neutraler Standpunkt	2011	319	5
2002.0	Wikipedia:Neutraler Standpunkt	2012	160	5
2002.0	Wikipedia:Neutraler Standpunkt	2013	485	5
2002.0	Wikipedia:Neutraler Standpunkt	2014	33	5
2002.0	Wikipedia:Neutraler Standpunkt	2015	28	5
2002.0	Wikipedia:Neutraler Standpunkt	2016	36	5
2002.0	Wikipedia:Neutraler Standpunkt	2017	66	5
2002.0	Wikipedia:Neutraler Standpunkt	2018	21	5
2002.0	Wikipedia:Neutraler Standpunkt	2019	28	5
2002.0	Wikipedia:Neutraler Standpunkt	2020	19	5
2002.0	Wikipedia:Sei mutig	2002	6	2
2002.0	Wikipedia:Sei mutig	2003	8	4
2002.0	Wikipedia:Sei mutig	2004	120	4
2002.0	Wikipedia:Sei mutig	2005	136	4
2002.0	Wikipedia:Sei mutig	2006	164	5
2002.0	Wikipedia:Sei mutig	2007	44	5
2002.0	Wikipedia:Sei mutig	2008	104	5
2002.0	Wikipedia:Sei mutig	2009	73	5
2002.0	Wikipedia:Sei mutig	2010	21	5
2002.0	Wikipedia:Sei mutig	2011	13	5
2002.0	Wikipedia:Sei mutig	2012	17	5
2002.0	Wikipedia:Sei mutig	2013	26	5
2002.0	Wikipedia:Sei mutig	2014	18	5
2002.0	Wikipedia:Sei mutig	2015	12	5
2002.0	Wikipedia:Sei mutig	2016	10	5
2002.0	Wikipedia:Sei mutig	2017	35	5
2002.0	Wikipedia:Sei mutig	2018	4	5
2002.0	Wikipedia:Sei mutig	2019	57	5
2002.0	Wikipedia:Sei mutig	2020	76	5
2002.0	Wikipedia:Verlinken	2002	3	1
2002.0	Wikipedia:Verlinken	2003	23	2
2002.0	Wikipedia:Verlinken	2004	58	3
2002.0	Wikipedia:Verlinken	2005	107	3
2002.0	Wikipedia:Verlinken	2006	121	3
2002.0	Wikipedia:Verlinken	2007	272	3
2002.0	Wikipedia:Verlinken	2008	121	3
2002.0	Wikipedia:Verlinken	2009	109	3
2002.0	Wikipedia:Verlinken	2010	142	3
2002.0	Wikipedia:Verlinken	2011	63	3
2002.0	Wikipedia:Verlinken	2012	60	3
2002.0	Wikipedia:Verlinken	2013	118	3
2002.0	Wikipedia:Verlinken	2014	153	3
2002.0	Wikipedia:Verlinken	2015	207	3
2002.0	Wikipedia:Verlinken	2016	193	3
2002.0	Wikipedia:Verlinken	2017	73	3
2002.0	Wikipedia:Verlinken	2018	36	3
2002.0	Wikipedia:Verlinken	2019	73	3
2002.0	Wikipedia:Verlinken	2020	173	3
2002.0	Wikipedia:Was Wikipedia nicht ist	2002	23	4
2002.0	Wikipedia:Was Wikipedia nicht ist	2003	366	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2004	125	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2005	686	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2006	509	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2007	460	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2008	573	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2009	293	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2010	235	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2011	163	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2012	281	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2013	96	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2014	36	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2015	22	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2016	115	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2017	25	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2018	32	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2019	141	5
2002.0	Wikipedia:Was Wikipedia nicht ist	2020	18	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2002	12	1
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2003	73	2
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2004	268	3
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2005	353	3
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2006	467	3
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2007	353	3
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2008	306	3
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2009	241	4
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2010	348	4
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2011	141	4
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2012	233	4
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2013	172	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2014	143	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2015	331	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2016	117	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2017	111	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2018	110	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2019	107	5
2002.0	Wikipedia:Wie schreibe ich gute Artikel	2020	128	5
2003.0	Wikipedia:Assoziative Verweise	2003	75	2
2003.0	Wikipedia:Assoziative Verweise	2004	87	2
2003.0	Wikipedia:Assoziative Verweise	2005	627	2
2003.0	Wikipedia:Assoziative Verweise	2006	40	2
2003.0	Wikipedia:Assoziative Verweise	2007	25	2
2003.0	Wikipedia:Assoziative Verweise	2008	35	2
2003.0	Wikipedia:Assoziative Verweise	2009	28	2
2003.0	Wikipedia:Assoziative Verweise	2010	120	3
2003.0	Wikipedia:Assoziative Verweise	2011	18	3
2003.0	Wikipedia:Assoziative Verweise	2012	16	3
2003.0	Wikipedia:Assoziative Verweise	2013	13	3
2003.0	Wikipedia:Assoziative Verweise	2014	21	3
2003.0	Wikipedia:Assoziative Verweise	2015	19	3
2003.0	Wikipedia:Assoziative Verweise	2016	66	3
2003.0	Wikipedia:Assoziative Verweise	2017	7	3
2003.0	Wikipedia:Assoziative Verweise	2018	2	3
2003.0	Wikipedia:Assoziative Verweise	2019	2	3
2003.0	Wikipedia:Assoziative Verweise	2020	2	3
2003.0	Wikipedia:Barrierefreiheit	2003	10	1
2003.0	Wikipedia:Barrierefreiheit	2004	4	1
2003.0	Wikipedia:Barrierefreiheit	2005	13	1
2003.0	Wikipedia:Barrierefreiheit	2006	14	1
2003.0	Wikipedia:Barrierefreiheit	2007	21	1
2003.0	Wikipedia:Barrierefreiheit	2008	6	1
2003.0	Wikipedia:Barrierefreiheit	2009	4	1
2003.0	Wikipedia:Barrierefreiheit	2010	11	1
2003.0	Wikipedia:Barrierefreiheit	2011	36	1
2003.0	Wikipedia:Barrierefreiheit	2012	8	1
2003.0	Wikipedia:Barrierefreiheit	2013	7	1
2003.0	Wikipedia:Barrierefreiheit	2014	7	1
2003.0	Wikipedia:Barrierefreiheit	2015	8	1
2003.0	Wikipedia:Barrierefreiheit	2016	16	1
2003.0	Wikipedia:Barrierefreiheit	2017	24	1
2003.0	Wikipedia:Barrierefreiheit	2018	1	1
2003.0	Wikipedia:Barrierefreiheit	2019	23	1
2003.0	Wikipedia:Barrierefreiheit	2020	3	1
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2003	13	3
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2004	15	3
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2005	3	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2006	14	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2007	10	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2008	7	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2009	37	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2010	7	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2011	14	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2012	4	4
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2013	5	5
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2014	2	5
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2015	2	5
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2017	4	5
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2018	2	5
2003.0	Wikipedia:Bewahre immer einen kühlen Kopf	2020	1	5
2003.0	Wikipedia:Diskussionsseiten	2003	9	1
2003.0	Wikipedia:Diskussionsseiten	2004	30	1
2003.0	Wikipedia:Diskussionsseiten	2005	59	2
2003.0	Wikipedia:Diskussionsseiten	2006	193	2
2003.0	Wikipedia:Diskussionsseiten	2007	132	3
2003.0	Wikipedia:Diskussionsseiten	2008	175	3
2003.0	Wikipedia:Diskussionsseiten	2009	138	3
2003.0	Wikipedia:Diskussionsseiten	2010	251	3
2003.0	Wikipedia:Diskussionsseiten	2011	333	3
2003.0	Wikipedia:Diskussionsseiten	2012	121	3
2003.0	Wikipedia:Diskussionsseiten	2013	118	3
2003.0	Wikipedia:Diskussionsseiten	2014	106	3
2003.0	Wikipedia:Diskussionsseiten	2015	71	3
2003.0	Wikipedia:Diskussionsseiten	2016	48	3
2003.0	Wikipedia:Diskussionsseiten	2017	41	3
2003.0	Wikipedia:Diskussionsseiten	2018	51	3
2003.0	Wikipedia:Diskussionsseiten	2019	86	3
2003.0	Wikipedia:Diskussionsseiten	2020	72	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2003	116	2
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2004	55	2
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2005	35	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2006	108	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2007	167	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2008	49	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2009	216	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2010	135	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2011	20	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2012	66	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2013	114	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2014	44	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2015	9	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2016	9	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2017	18	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2018	4	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2019	64	3
2003.0	Wikipedia:Formatvorlage Begriffsklärung	2020	4	3
2003.0	Wikipedia:Geschützte Seiten	2003	32	2
2003.0	Wikipedia:Geschützte Seiten	2004	122	4
2003.0	Wikipedia:Geschützte Seiten	2005	250	4
2003.0	Wikipedia:Geschützte Seiten	2006	86	4
2003.0	Wikipedia:Geschützte Seiten	2007	46	4
2003.0	Wikipedia:Geschützte Seiten	2008	37	4
2003.0	Wikipedia:Geschützte Seiten	2009	29	4
2003.0	Wikipedia:Geschützte Seiten	2010	70	4
2003.0	Wikipedia:Geschützte Seiten	2011	58	4
2003.0	Wikipedia:Geschützte Seiten	2012	17	4
2003.0	Wikipedia:Geschützte Seiten	2013	28	4
2003.0	Wikipedia:Geschützte Seiten	2014	15	4
2003.0	Wikipedia:Geschützte Seiten	2015	10	4
2003.0	Wikipedia:Geschützte Seiten	2016	6	4
2003.0	Wikipedia:Geschützte Seiten	2017	2	4
2003.0	Wikipedia:Geschützte Seiten	2018	1	4
2003.0	Wikipedia:Geschützte Seiten	2019	2	5
2003.0	Wikipedia:Geschützte Seiten	2020	2	5
2003.0	Wikipedia:Ignoriere alle Regeln	2003	10	3
2003.0	Wikipedia:Ignoriere alle Regeln	2004	48	3
2003.0	Wikipedia:Ignoriere alle Regeln	2005	98	3
2003.0	Wikipedia:Ignoriere alle Regeln	2006	42	5
2003.0	Wikipedia:Ignoriere alle Regeln	2007	26	5
2003.0	Wikipedia:Ignoriere alle Regeln	2008	33	5
2003.0	Wikipedia:Ignoriere alle Regeln	2009	18	5
2003.0	Wikipedia:Ignoriere alle Regeln	2010	31	5
2003.0	Wikipedia:Ignoriere alle Regeln	2011	21	5
2003.0	Wikipedia:Ignoriere alle Regeln	2012	25	5
2003.0	Wikipedia:Ignoriere alle Regeln	2013	12	5
2003.0	Wikipedia:Ignoriere alle Regeln	2014	9	5
2003.0	Wikipedia:Ignoriere alle Regeln	2015	6	5
2003.0	Wikipedia:Ignoriere alle Regeln	2016	15	5
2003.0	Wikipedia:Ignoriere alle Regeln	2017	6	5
2003.0	Wikipedia:Ignoriere alle Regeln	2019	8	5
2003.0	Wikipedia:Ignoriere alle Regeln	2020	4	5
2003.0	Wikipedia:Listen	2002	4	0
2003.0	Wikipedia:Listen	2003	34	2
2003.0	Wikipedia:Listen	2004	23	2
2003.0	Wikipedia:Listen	2005	22	2
2003.0	Wikipedia:Listen	2006	62	2
2003.0	Wikipedia:Listen	2007	56	3
2003.0	Wikipedia:Listen	2008	69	3
2003.0	Wikipedia:Listen	2009	116	4
2003.0	Wikipedia:Listen	2010	78	5
2003.0	Wikipedia:Listen	2011	76	5
2003.0	Wikipedia:Listen	2012	22	5
2003.0	Wikipedia:Listen	2013	26	5
2003.0	Wikipedia:Listen	2014	11	5
2003.0	Wikipedia:Listen	2015	22	5
2003.0	Wikipedia:Listen	2016	51	5
2003.0	Wikipedia:Listen	2017	19	5
2003.0	Wikipedia:Listen	2018	27	5
2003.0	Wikipedia:Listen	2019	3	5
2003.0	Wikipedia:Listen	2020	23	5
2003.0	Wikipedia:Literatur	2003	15	1
2003.0	Wikipedia:Literatur	2004	104	1
2003.0	Wikipedia:Literatur	2005	276	1
2003.0	Wikipedia:Literatur	2006	471	1
2003.0	Wikipedia:Literatur	2007	305	1
2003.0	Wikipedia:Literatur	2008	523	1
2003.0	Wikipedia:Literatur	2009	538	1
2003.0	Wikipedia:Literatur	2010	736	1
2003.0	Wikipedia:Literatur	2011	852	1
2003.0	Wikipedia:Literatur	2012	1007	1
2003.0	Wikipedia:Literatur	2013	389	1
2003.0	Wikipedia:Literatur	2014	199	1
2003.0	Wikipedia:Literatur	2015	243	1
2003.0	Wikipedia:Literatur	2016	149	1
2003.0	Wikipedia:Literatur	2017	149	1
2003.0	Wikipedia:Literatur	2018	78	1
2003.0	Wikipedia:Literatur	2019	48	1
2003.0	Wikipedia:Literatur	2020	165	1
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2003	5	2
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2004	85	2
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2005	90	2
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2006	216	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2007	73	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2008	18	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2009	7	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2010	14	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2011	117	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2012	5	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2013	64	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2014	4	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2015	2	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2016	59	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2017	5	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2018	26	3
2003.0	Wikipedia:Namenskonventionen/Chinesisch	2020	6	3
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2003	14	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2004	21	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2005	96	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2006	13	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2007	11	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2008	6	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2009	4	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2010	4	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2011	17	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2012	2	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2013	7	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2014	9	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2015	2	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2016	2	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2018	10	2
2003.0	Wikipedia:Namenskonventionen/Koreanisch	2020	4	2
2003.0	Wikipedia:Rechtschreibung	2003	10	2
2003.0	Wikipedia:Rechtschreibung	2004	750	2
2003.0	Wikipedia:Rechtschreibung	2005	230	3
2003.0	Wikipedia:Rechtschreibung	2006	170	3
2003.0	Wikipedia:Rechtschreibung	2007	66	4
2003.0	Wikipedia:Rechtschreibung	2008	51	4
2003.0	Wikipedia:Rechtschreibung	2009	113	4
2003.0	Wikipedia:Rechtschreibung	2010	573	4
2003.0	Wikipedia:Rechtschreibung	2011	139	4
2003.0	Wikipedia:Rechtschreibung	2012	213	4
2003.0	Wikipedia:Rechtschreibung	2013	356	4
2003.0	Wikipedia:Rechtschreibung	2014	237	4
2003.0	Wikipedia:Rechtschreibung	2015	133	4
2003.0	Wikipedia:Rechtschreibung	2016	110	4
2003.0	Wikipedia:Rechtschreibung	2017	428	4
2003.0	Wikipedia:Rechtschreibung	2018	167	4
2003.0	Wikipedia:Rechtschreibung	2019	210	4
2003.0	Wikipedia:Rechtschreibung	2020	181	4
2003.0	Wikipedia:Schreibweise von Zahlen	2003	65	2
2003.0	Wikipedia:Schreibweise von Zahlen	2004	260	2
2003.0	Wikipedia:Schreibweise von Zahlen	2005	107	3
2003.0	Wikipedia:Schreibweise von Zahlen	2006	113	3
2003.0	Wikipedia:Schreibweise von Zahlen	2007	165	3
2003.0	Wikipedia:Schreibweise von Zahlen	2008	181	3
2003.0	Wikipedia:Schreibweise von Zahlen	2009	222	3
2003.0	Wikipedia:Schreibweise von Zahlen	2010	69	3
2003.0	Wikipedia:Schreibweise von Zahlen	2011	44	3
2003.0	Wikipedia:Schreibweise von Zahlen	2012	141	3
2003.0	Wikipedia:Schreibweise von Zahlen	2013	98	3
2003.0	Wikipedia:Schreibweise von Zahlen	2014	64	3
2003.0	Wikipedia:Schreibweise von Zahlen	2015	109	3
2003.0	Wikipedia:Schreibweise von Zahlen	2016	66	3
2003.0	Wikipedia:Schreibweise von Zahlen	2017	228	3
2003.0	Wikipedia:Schreibweise von Zahlen	2018	141	3
2003.0	Wikipedia:Schreibweise von Zahlen	2019	78	3
2003.0	Wikipedia:Schreibweise von Zahlen	2020	127	3
2003.0	Wikipedia:Weblinks	2003	34	3
2003.0	Wikipedia:Weblinks	2004	25	4
2003.0	Wikipedia:Weblinks	2005	315	4
2003.0	Wikipedia:Weblinks	2006	999	5
2003.0	Wikipedia:Weblinks	2007	1716	5
2003.0	Wikipedia:Weblinks	2008	891	5
2003.0	Wikipedia:Weblinks	2009	633	5
2003.0	Wikipedia:Weblinks	2010	524	5
2003.0	Wikipedia:Weblinks	2011	445	5
2003.0	Wikipedia:Weblinks	2012	407	5
2003.0	Wikipedia:Weblinks	2013	404	5
2003.0	Wikipedia:Weblinks	2014	233	5
2003.0	Wikipedia:Weblinks	2015	326	5
2003.0	Wikipedia:Weblinks	2016	132	5
2003.0	Wikipedia:Weblinks	2017	119	5
2003.0	Wikipedia:Weblinks	2018	153	5
